City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,puerto baquerizo moreno,-0.9,-89.6,30.55,58,20,5.14,EC,1738792291
181,freetown,8.484,-13.2299,26.84,74,40,2.57,SL,1738792719
182,lompoc,34.6391,-120.4579,15.38,83,100,3.09,US,1738792219
183,utrik,11.2278,169.8474,26.2,83,100,9.63,MH,1738792721
184,mount pearl,47.5166,-52.7813,-8.25,75,75,10.29,CA,1738792130
185,makoua,0.0069,15.6333,25.72,71,100,1.46,CG,1738792724
186,al bawiti,28.3492,28.8659,12.38,60,99,7.92,EG,1738792726
187,sitangkai,4.6628,119.3928,26.8,81,100,4.02,PH,1738792727
188,leava,-14.3,-178.1667,28.36,70,86,1.61,WF,1738792257
189,dapa,9.7594,126.0531,25.36,86,98,2.74,PH,1738792730
190,aberdeen,57.1437,-2.0981,2.92,86,0,1.03,GB,1738792731
191,kas,36.2018,29.6377,6.23,44,11,4.61,TR,1738792732
192,codrington,-38.2667,141.9667,19.47,72,68,3.3,AU,1738792322
193,virac,13.6333,124.2167,20.83,91,92,3.38,PH,1738792734
194,sitka,57.0531,-135.33,3.94,56,0,0.0,US,1738792736
195,anadyr,64.75,177.4833,-37.72,73,0,5.0,RU,1738792737
196,coari,-4.085,-63.1414,23.85,98,100,0.59,BR,1738792738
197,uttarkashi,30.7333,78.45,2.04,49,0,3.25,IN,1738792739
198,dinguiraye,11.3,-10.7167,25.37,20,100,1.56,GN,1738792740
199,port-gentil,-0.7193,8.7815,27.98,83,20,1.03,GA,1738792237
200,as sulayyil,20.4607,45.5779,15.66,13,35,3.23,SA,1738792743
201,boyolangu,-8.1181,111.8935,23.43,93,88,2.73,ID,1738792744
202,ola,59.5833,151.2833,-24.35,80,9,3.69,RU,1738792745
203,cannonvale,-20.2833,148.7,23.66,87,100,4.35,AU,1738792746
204,tura,25.5198,90.2201,15.47,61,0,1.85,IN,1738792747
205,puerto ayora,-0.7393,-90.3518,25.86,92,23,2.24,EC,1738792749
206,tamanrasset,22.785,5.5228,13.95,58,40,2.06,DZ,1738792750
207,neka,36.6508,53.299,5.73,93,75,1.03,IR,1738792751
208,lihue,21.9789,-159.3672,24.3,69,20,4.63,US,1738792752
209,umea,63.8284,20.2597,-1.04,100,0,1.03,SE,1738792753
210,port macquarie,-31.4333,152.9167,25.04,83,40,1.34,AU,1738792754
211,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,34,75,6.0,RU,1738792756
212,gobabis,-22.45,18.9667,21.89,68,95,9.27,NA,1738792267
213,saudarkrokur,65.7461,-19.6394,2.77,75,100,17.12,IS,1738792244
214,hithadhoo,-0.6,73.0833,27.67,65,32,5.74,MV,1738792759
215,pelabuhanratu,-6.9875,106.5514,26.96,71,100,3.73,ID,1738792760
216,roma,43.2128,-75.4557,-6.92,63,75,0.0,US,1738792617
217,thunder bay,48.4001,-89.3168,-11.01,48,75,2.57,CA,1738792763
218,port alfred,-33.5906,26.891,19.54,99,100,1.34,ZA,1738792764
219,kaohsiung,22.6163,120.3133,15.97,82,75,1.03,TW,1738792641
220,nouadhibou,20.931,-17.0347,18.99,63,0,7.72,MR,1738792766
221,gadzhiyevo,69.2551,33.3362,-5.5,82,100,10.59,RU,1738792767
222,miri,4.4148,114.0089,24.08,100,40,0.51,MY,1738792769
223,yuzhno-kurilsk,44.0306,145.8556,-2.31,79,32,5.96,RU,1738792770
224,tequila,20.8833,-103.8333,31.39,14,0,0.57,MX,1738792771
225,caluula,11.9661,50.7569,22.66,70,62,5.14,SO,1738792772
226,muisne,0.6,-80.0333,26.54,79,51,2.35,EC,1738792773
227,trebes,43.2106,2.4417,8.21,61,0,4.63,FR,1738792774
228,cova figueira,14.8905,-24.2934,15.68,67,1,6.46,CV,1738792776
229,guerrero negro,27.9769,-114.0611,17.87,62,0,6.91,MX,1738792777
230,banda aceh,5.5577,95.3222,24.96,78,56,2.97,ID,1738792778
231,sikasso,10.9167,-7.0,25.51,15,72,2.66,ML,1738792779
232,uturoa,-16.7333,-151.4333,28.03,73,71,5.85,PF,1738792780
233,beni,0.5,29.4667,22.07,36,100,0.95,CD,1738792781
234,brookings,44.3114,-96.7984,-7.12,78,100,4.63,US,1738792783
235,porto novo,6.4965,2.6036,28.9,84,42,3.9,BJ,1738792784
236,zaozersk,69.4005,32.4476,-6.49,86,97,9.7,RU,1738792785
237,san patricio,28.017,-97.5169,26.75,59,80,7.47,US,1738792786
238,malvan,16.0667,73.4667,23.71,68,5,4.54,IN,1738792787
239,kavaratti,10.5669,72.642,26.96,73,9,3.77,IN,1738792789
240,labytnangi,66.6572,66.4183,-15.42,97,100,2.72,RU,1738792790
241,eyl,7.9803,49.8164,22.28,79,60,7.49,SO,1738792791
242,levelland,33.5873,-102.378,27.3,7,0,7.47,US,1738792792
243,vadso,70.0744,29.7487,-3.91,86,75,9.77,NO,1738792793
244,preobrazheniye,42.9019,133.9064,-14.99,67,30,4.67,RU,1738792794
245,centenario,-38.8043,-68.14,31.86,25,0,2.06,AR,1738792796
246,mirabad,30.4362,61.8383,10.59,23,0,3.81,AF,1738792797
247,taunsa,30.7048,70.6505,11.45,30,0,2.24,PK,1738792798
248,kapuskasing,49.4169,-82.4331,-7.95,48,75,8.75,CA,1738792799
249,holualoa,19.6228,-155.9522,25.31,65,1,1.34,US,1738792800
250,kabinda,-6.1333,24.4833,20.2,86,100,0.15,CD,1738792801
251,port lincoln,-34.7333,135.8667,18.86,76,0,4.13,AU,1738792803
252,ancud,-41.8697,-73.8203,14.79,73,99,4.4,CL,1738792804
253,zhangye,38.9342,100.4517,-11.43,54,4,2.11,CN,1738792805
254,talcahuano,-36.7167,-73.1167,21.82,64,0,5.66,CL,1738792807
255,andalgala,-27.5819,-66.3165,34.21,32,0,2.75,AR,1738792808
256,lichinga,-13.3128,35.2406,16.84,97,97,1.53,MZ,1738792809
257,punta arenas,-53.15,-70.9167,15.06,41,0,6.69,CL,1738792810
258,whitby,54.4877,-0.615,3.41,83,0,0.45,GB,1738792811
259,oranjemund,-28.55,16.4333,17.0,82,29,8.66,NA,1738792813
260,jayapura,-2.5333,140.7,23.66,92,100,1.38,ID,1738792814
261,klyuchi,52.2667,79.1667,-16.54,83,5,5.1,RU,1738792815
262,gokceada,40.2011,25.909,6.34,64,6,11.35,TR,1738792816
263,landeck,47.1301,10.5636,-2.39,64,1,2.78,AT,1738792818
264,stephenville,32.2207,-98.2023,26.75,56,40,8.23,US,1738792819
265,kufa,32.0347,44.4033,13.02,35,0,4.63,IQ,1738792820
266,bandar lampung,-5.4254,105.258,22.29,97,64,3.35,ID,1738792821
267,warrnambool,-38.3833,142.4833,18.86,80,91,3.12,AU,1738792822
268,midvagur,62.0511,-7.1939,8.46,87,100,10.8,FO,1738792824
269,ceeldheer,3.8488,47.1806,23.53,86,29,8.34,SO,1738792825
270,villa gesell,-37.2639,-56.973,19.1,78,100,8.75,AR,1738792826
271,cabo san lucas,22.8909,-109.9124,21.77,53,0,5.31,MX,1738792794
272,rakops,-21.0167,24.3333,28.2,30,41,1.01,BW,1738792828
273,hasaki,35.7333,140.8333,3.57,34,0,7.44,JP,1738792830
274,cam ranh,11.9214,109.1591,19.98,83,20,2.57,VN,1738792831
275,lockwood,45.8191,-108.4149,-14.77,78,100,2.57,US,1738792832
276,ta`u,-14.2336,-169.5144,27.83,75,100,3.64,AS,1738792833
277,puerto leguizamo,-0.1934,-74.7819,27.35,72,100,1.35,CO,1738792834
278,sepatan,-6.1189,106.575,27.01,83,75,7.72,ID,1738792836
279,benejuzar,38.0799,-0.8285,10.94,85,4,0.45,ES,1738792837
280,murghob,38.1702,73.9667,-30.03,96,84,1.58,TJ,1738792838
281,ilha de mocambique,-15.0342,40.7358,25.63,86,100,2.89,MZ,1738792839
282,wuchuan,21.4571,110.7659,16.14,59,100,4.19,CN,1738792840
283,port saint john's,-31.6229,29.5448,21.93,92,100,4.58,ZA,1738792842
284,huangshi,30.2042,115.0776,3.78,51,9,2.41,CN,1738792818
285,kohima,25.6667,94.1167,9.57,79,0,1.3,IN,1738792844
286,nago,26.5881,127.9761,12.12,59,11,3.24,JP,1738792847
287,smithers,54.7804,-127.1743,-14.82,66,0,2.06,CA,1738792848
288,pakuranga,-36.8833,174.9167,23.3,72,100,2.57,NZ,1738792849
289,hobyo,5.3505,48.5268,23.72,84,19,8.47,SO,1738792850
290,burabay,53.0838,70.3138,-11.56,98,100,2.67,KZ,1738792851
291,taraz,42.9,71.3667,-11.77,85,68,2.0,KZ,1738792853
292,nova xavantina,-14.6667,-52.35,22.83,94,73,1.68,BR,1738792854
293,palu,-0.8917,119.8707,23.59,97,100,0.99,ID,1738792855
294,nagqu,31.5,92.0,-7.22,20,0,3.0,CN,1738792856
295,luganville,-15.5333,167.1667,28.98,69,60,4.93,VU,1738792858
296,edson,53.5835,-116.4356,-19.92,59,0,3.09,CA,1738792859
